Motif_ID	Motif_Type	MSource_Identifier	MSource_Type	TF_Status	TF_Name	TF_Species
M02753_2.00	SELEX	Jolma2013	SELEX	D	TFAP2B	Homo_sapiens
M02754_2.00	SELEX	Jolma2013	SELEX	D	TFAP2B	Homo_sapiens
M02755_2.00	SELEX	Jolma2013	SELEX	D	TFAP2B	Homo_sapiens
M04046_2.00	SELEX	Yin2017	SELEX	D	TFAP2B	Homo_sapiens
M04047_2.00	SELEX	Yin2017	SELEX	D	TFAP2B	Homo_sapiens
M08701_2.00	Misc	HocoMoco	Misc	D	TFAP2B	Homo_sapiens
M09750_2.00	Transfac	Transfac	Transfac	D	TFAP2B	Homo_sapiens
M00111_2.00	PBM	Badis09	PBM	I	TFAP2D	Homo_sapiens
M00112_2.00	PBM	Badis09	PBM	I	TFAP2D	Homo_sapiens
M00113_2.00	PBM	Badis09	PBM	I	TFAP2D	Homo_sapiens
M00114_2.00	PBM	Badis09	PBM	I	TFAP2D	Homo_sapiens
M02753_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02754_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02755_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02756_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02757_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02758_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02759_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02760_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02761_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02762_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02763_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02764_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02765_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02766_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02767_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02768_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02769_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M02770_2.00	SELEX	Jolma2013	SELEX	I	TFAP2D	Homo_sapiens
M04046_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04047_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
